theta	counts	intensity
1.558601	280	0.470680
1.534203	834	0.467318
1.509783	1476	0.496231
1.485326	2215	0.531916
1.460819	2841	0.530636
1.436244	3831	0.585446
1.411588	4608	0.595850
1.386834	5437	0.609306
1.361965	6461	0.638879
1.336964	7395	0.654263
1.311813	8483	0.679044
1.286494	9620	0.703097
1.260986	10582	0.711534
1.235268	11829	0.736465
1.209317	13142	0.761783
1.183109	14148	0.767187
1.156617	15451	0.787065
1.129813	16875	0.810482
1.102665	18253	0.829278
1.075139	19924	0.858775
1.047198	21254	0.871414
1.018797	22980	0.898358
0.989892	24473	0.914203
0.960426	25980	0.929200
0.930341	27821	0.954431
0.899564	29345	0.967234
0.868016	30771	0.975963
0.835601	33004	1.008722
0.802207	34833	1.027268
0.767697	36795	1.048346
0.731905	38572	1.062943
0.694627	40289	1.075013
0.655599	42434	1.097409
0.614480	44419	1.114453
0.570810	46939	1.143543
0.523942	48816	1.155770
0.472916	51411	1.183862
0.416194	53175	1.191829
0.351014	55347	1.208290
0.271332	57734	1.228492
0.156333	59923	1.243587
