level	j_plus	j_minus	h_plus	h_minus	k_plus	k_minus
1	9.622584	7.891055	4.811909	-3.811909	3.206964	2.497118
2	8.609017	7.077218	4.412504	-3.412504	2.969916	2.232537
3	7.829671	6.309899	4.030534	-3.030534	2.722568	1.977985
4	7.054731	5.551383	3.652550	-2.652550	2.474547	1.726945
5	6.303429	4.799386	3.280375	-2.280375	2.227562	1.478765
6	5.553462	4.049114	2.903874	-1.903874	1.977414	1.228816
7	4.796872	3.300731	2.527406	-1.527406	1.726481	0.978286
8	4.052532	2.542985	2.151608	-1.151608	1.475842	0.728762
9	3.299873	1.784260	1.776117	-0.776117	1.225824	0.481407
10	2.538434	1.001002	1.396481	-0.396481	0.973261	0.236116
11	1.733300	0.000000	1.000000	0.000000	0.710294	0.000000
