theta	counts	intensity
89.427033	174	0.435000
88.280869	567	0.472500
87.134016	990	0.495000
85.986013	1467	0.523929
84.836393	1882	0.522778
83.684684	2417	0.549318
82.530408	2950	0.567308
81.373073	3494	0.582333
80.212181	4023	0.591618
79.047216	4664	0.613684
77.877648	5384	0.640952
76.702928	5993	0.651413
75.522488	6613	0.661300
74.335733	7664	0.709630
73.142044	8277	0.713534
71.940770	8924	0.719677
70.731225	9687	0.733864
69.512685	10442	0.745857
68.284383	11019	0.744527
67.045501	12193	0.781603
65.795165	12975	0.791159
64.532440	14162	0.823372
63.256316	14787	0.821500
61.965703	15963	0.849096
60.659418	16820	0.858163
59.336170	18070	0.885784
57.994545	19098	0.900849
56.632987	20004	0.909273
55.249774	21132	0.926842
53.842992	22255	0.943008
52.410497	23307	0.955205
50.949877	24287	0.963770
49.458398	25872	0.995077
47.932935	27151	1.013097
46.369891	28137	1.019457
44.765085	29475	1.037852
43.113606	30623	1.048733
41.409622	32232	1.074400
39.646111	33508	1.087922
37.814489	35020	1.108228
35.904069	36099	1.114167
33.901262	37510	1.129819
31.788331	38856	1.142824
29.541361	40295	1.157902
27.126753	41781	1.173624
24.494648	43481	1.194533
21.565185	44599	1.198898
18.194872	46480	1.223158
14.069868	47702	1.229433
8.109614	49495	1.249874
